2	108649
2	94627
2	93816
2	94595
2	94635
2	94603
2	94643
2	94568
2	94587
2	94583
2	94626
3	107139
3	107199
3	107227
3	107213
3	107183
3	107235
3	107168
3	107284
3	107173
3	107215
3	107160
4	127923
4	127748
4	127561
4	127635
4	127916
4	127850
4	127995
4	127875
4	128110
4	128059
4	128142
5	138479
5	138687
5	117504
5	83251
5	83310
5	83281
5	83233
5	83269
5	83163
5	83252
5	83221
10	137684
10	137736
10	137886
10	137988
10	137984
10	138064
10	138138
10	138046
10	137953
10	138009
10	138113
15	194368
15	194194
15	193975
15	194293
15	194121
15	194068
15	194173
15	194397
15	194134
15	194258
15	194115
20	251857
20	252001
20	252032
20	251906
20	252349
20	252125
20	251964
20	251919
20	252167
20	252130
20	251991
25	308241
25	308078
25	308285
25	308073
25	307865
25	308015
25	308077
25	308609
25	308080
25	308173
25	308083
30	363390
30	363334
30	363399
30	363339
30	363280
30	363281
30	363518
30	363694
30	363773
30	363581
30	363793
